            Observation   DiGangiError  SucheyBrooksError  Difference
                  1             -34             -18           16  
                  2             -12              -9            3  
                  3             -40             -11           29  
                  4             -15               2           17  
                  5             -28             -14           14  
                  6              -9               1           10  
                  7             -18             -15            3  
                  8             -23             -12           11  
                  9             -31             -24            7  
                 10             -16             -14            2  
                 11             -26             -23            3  
                 12             -29               0           29  
                 13              -8              -4            4  
                 14             -23             -21            2  
                 15             -16             -14            2  
                 16             -18              -7           11  
                 17             -23               3           26  
                 18             -42             -33            9  
                 19             -29             -13           16  
                 20             -26             -19            7  
                 21               0             -11          -11  
                 22             -35              -7           28  
                 23             -16               0           16  
                 24              -3               0            3  
                 25             -32             -18           14  
                 26             -44             -30           14  
                 27              -7              -1            6  
                 28             -16             -14            2  
                 29              20              20            0  
                 30             -23              -9           14  
                 31              19              -7          -26  
                 32               1             -14          -15  
                 33             -20              -9           11  
                 34             -26              -9           17  
                 35              -6              -4            2  
                 36              -3              -5           -2  
                 37             -22              -6           16  
                 38              -6               1            7  
                 39             -12              17           29  
                 40             -28             -12           16  
                 41              -2              -4           -2  
                 42             -31             -17           14  
                 43              -4               2            6  
                 44             -10              -8            2  
                 45              -1               9           10  
                 46             -33             -19           14  
                 47             -43             -22           21  
                 48               0               0            0  
                 49              -7               3           10  
                 50               6              13            7  
                 51             -13               1           14  
                 52             -17              -3           14  
                 53             -14             -11            3  
                 54             -18             -15            3  
                 55              -2              12           14  
                 56             -30              -7           23  
                 57             -20              -3           17  
                 58             -19             -17            2  
                 59             -39             -23           16  
                 60             -16               0           16  
                 61             -26             -12           14  
                 62             -16               0           16  
                 63               6             -14          -20  
                 64              -7              -4            3  
                 65             -12              -6            6  
                 66              -7              -4            3  
                 67              -8               2           10  
                 68             -18              -5           13  
                 69             -20             -21           -1  
                 70             -13             -17           -4  
                 71             -19              -3           16  
                 72              -8              -5            3  
                 73               9              11            2  
                 74             -18              -4           14  
                 75             -33             -27            6  
                 76               4               2           -2  
                 77             -17             -11            6  
                 78               7              -2           -9  
                 79              -6              11           17  
                 80              -6             -15           -9  
                 81               3               0           -3  
                 82             -14              -1           13  
                 83             -19              10           29  
                 84              -6              -3            3  
                 85              -6             -12           -6  
                 86              -3              -1            2  
                 87             -35             -21           14  
                 88              -3              -1            2  
                 89              22               1          -21  
                 90             -18              -2           16  
                 91             -21              -4           17  
                 92             -32             -36           -4  
                 93             -12              -9            3  
                 94             -38             -24           14  
                 95              -5              -3            2  
                 96             -15             -18           -3  
                 97             -22               0           22  
                 98             -15              -1           14  
                 99               2              -1           -3  
                100              -9             -10           -1  
                101             -23              -9           14  
                102               6              -7          -13  
                103             -21              -7           14  
                104             -14             -11            3  
                105              -8              -5            3  
                106             -32             -25            7  
                107              -6              -4            2  
                108             -35             -25           10  
                109              -4              -2            2  
                110             -38             -24           14  
                111              -6              -4            2  
                112             -18              -4           14  
                113             -45             -22           23  
                114              -7               7           14  
                115              -1             -10           -9  
                116             -13               1           14  
                117               6              -9          -15  
                118             -17               0           17  
                119             -15             -13            2  
                120             -11               6           17  
                121             -36             -13           23  
                122               9              12            3  
                123             -43             -15           28  
                124             -26             -24            2  
                125             -25              -2           23  
                126              -9             -13           -4  
                127              11              -4          -15  
                128             -28             -24            4  
                129               3              20           17  
                130             -30             -13           17  
                131             -10               0           10  
                132              -6              -3            3  
                133              19              -3          -22  
                134               3               7            4  
                135              -9               5           14  
                136              -3               0            3  
                137              17              -2          -19  
                138             -13              -3           10  
                139             -17              -8            9  
                140              -4             -10           -6  
                141             -11               4           15  
                142             -17             -14            3  
                143              -7             -18          -11  
                144             -21             -25           -4  
                145             -36             -22           14  
                146             -15              -2           13  
                147               8               4           -4  
                148              -8              -5            3  
                149             -46             -17           29  
                150              -3              -7           -4  
                151             -24             -22            2  
                152               9              -6          -15  
                153             -20             -18            2  
                154              -5               5           10  
                155             -36              -8           28  
                156               7               4           -3  
                157             -18              -2           16  
                158              -2               4            6  
                159               5              -4           -9  
                160             -13              -3           10  
                161             -33             -12           21  
                162             -11              -8            3  
                163             -12             -13           -1  
                164              -4              10           14  
                165              -5              -3            2  
                166               6               3           -3  
                167             -35             -19           16  
                168             -12               2           14  
                169             -26             -24            2  
                170             -44              -9           35  
                171              -4              -5           -1  
                172             -12               2           14  
                173               7               6           -1  
                174              -8              -5            3  
                175             -21              -7           14  
                176             -18              10           28  
                177             -36             -22           14  
                178             -43              -8           35  
                179             -13               1           14  
                180             -10               3           13  
                181              11               0          -11  
                182             -17             -21           -4  
                183              -5             -16          -11  
                184             -10              -4            6  
                185             -18              -4           14  
                186             -15              -1           14  
                187             -21               0           21  
                188             -51             -28           23  
                189               0               2            2  
                190             -30             -16           14  
                191             -11             -23          -12  
                192              -8              -2            6  
                193              -8               5           13  
                194             -14               3           17  
                195             -27             -23            4  
                196              -7              -3            4  
